,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Text,Date,Favorites,Retweets,Tweet ID,sentiment,pos_pct,neg_pct
0,0,0,0,"Donald Trump and Hillary Clinton are in a bar. Donald leans over, and With A smile on his face, says, ""The media... http://fb.me/1e39y87ZQ ",2017-03-02 14:30:09,0,0,837429851246092288,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.3612}",0.104941176471,0.0627647058824
1,1,1,1,"me: i hate giraffes 
donald trump: i hate giraffes 
me: pic.twitter.com/O385oEmsmc",2017-03-02 14:20:07,8,0,837427325356683265,"{'neg': 0.514, 'neu': 0.486, 'pos': 0.0, 'compound': -0.8126}",0.104941176471,0.0627647058824
2,2,2,2,@Reuters How many swords will people have to jump on to save Donald Trump. This is the third one.,2017-03-02 12:54:09,0,0,837405689710592000,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.104941176471,0.0627647058824
3,3,3,3,"Donald Trump Jr. Was Likely Paid at Least $50,000 for Event Held by Hosts Allied With Russia on Syria 

got work to do to drain the swamp!",2017-03-02 12:31:58,1,1,837400109025476608,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
4,4,4,4,"""He is going to need to make the same kind of clean break that Mr. Tillerson made and that Donald Trump has refused to do."" #JonHuntsmanhttps://twitter.com/newsmax/status/837353580084473856 …",2017-03-02 09:32:02,0,0,837354825738293252,"{'neg': 0.077, 'neu': 0.839, 'pos': 0.084, 'compound': 0.0534}",0.104941176471,0.0627647058824
5,5,5,5,"@ChrisMurphyCT Donald Trump is the best president we ever had.Chris,do you have a demon inside of you,that makes you pick on Trump.",2017-03-02 08:21:33,0,0,837337088018251776,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6369}",0.104941176471,0.0627647058824
6,6,6,6,Sign the petition: Investigate Donald Trump http://fb.me/813mSa795 ,2017-03-02 05:40:54,0,0,837296659033960451,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
7,7,7,7,Investigate Donald Trump http://petitions.moveon.org/s/eb1HQ9  @moveon,2017-03-02 05:40:49,0,0,837296638662041600,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
8,8,8,8,Trump Plan to Increase Defense Spending May Boost State: President Donald Trump's proposal to boost Pentagon… http://m.tbnn.it/NWYVnl ,2017-03-02 03:03:08,0,0,837256955433345024,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.802}",0.104941176471,0.0627647058824
9,9,9,9,"Pundit: “Doubts about Donald Trump have been quelled now that he has delivered an hour-long speech without jamming a pen into anyone’s eye.""",2017-03-02 01:54:48,0,0,837239760469049345,"{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.296}",0.104941176471,0.0627647058824
10,10,10,10,@thedavidcrosby Do you feel the wall should build that Donald Trump on the border?,2017-03-01 22:55:07,0,0,837194540696100864,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
11,11,11,11,The wall should build the Donald Trump!,2017-03-01 22:54:06,0,0,837194284868730880,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
12,12,12,12,"And the Oscar for most corrupt administration goes to ""Lie Lie Land"" starring Donald trump and Jeff Sessions. Directed by Bannon and Putin",2017-03-01 19:57:57,71,28,837149956695814144,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
13,13,13,13,¿En cuántos casos de deportación se enfocará Donald Trump? Aquí te decimos: http://fb.me/2Is4sn2Ok ,2017-03-01 19:45:12,0,0,837146748732702720,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.104941176471,0.0627647058824
14,14,14,14,"Sometimes by losing a battle you find a new way to win the war.
- Donald Trump https://lnkd.in/dHQRBAF ",2017-03-01 18:04:57,0,0,837121516626116608,"{'neg': 0.381, 'neu': 0.46, 'pos': 0.159, 'compound': -0.6486}",0.104941176471,0.0627647058824
15,15,15,15,if kyle and donald trump were drowning the only thing i'd save would be my energy,2017-03-01 17:41:31,11,0,837115621406093314,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.6486}",0.104941176471,0.0627647058824
16,16,16,16,Donald Trump's not that bad.,2017-03-01 17:19:28,0,0,837110072438374401,"{'neg': 0.0, 'neu': 0.584, 'pos': 0.416, 'compound': 0.431}",0.104941176471,0.0627647058824
